date,area,town,daily_cases,avg_cases,std_daily_cases,std_avg_cases
2020/8/11,North,Qiryat Shemona,0,0.142857143,0,0.63881028
2020/8/12,North,Qiryat Shemona,0,0.142857143,0,0.63881028
2020/8/13,North,Qiryat Shemona,3,0.571428571,13.41501587,2.555241117
2020/8/14,North,Qiryat Shemona,0,0.571428571,0,2.555241117
2020/8/15,North,Qiryat Shemona,0,0.428571429,0,1.916430841
2020/8/16,North,Qiryat Shemona,0,0.428571429,0,1.916430841
2020/8/17,North,Qiryat Shemona,2,0.714285714,8.943343916,3.194051397
2020/8/18,North,Qiryat Shemona,0,0.714285714,0,3.194051397
2020/8/19,North,Qiryat Shemona,0,0.714285714,0,3.194051397
2020/8/20,North,Qiryat Shemona,0,0.285714286,0,1.277620561
2020/8/21,North,Qiryat Shemona,0,0.285714286,0,1.277620561
2020/8/22,North,Qiryat Shemona,0,0.285714286,0,1.277620561
2020/8/23,North,Qiryat Shemona,2,0.571428571,8.943343916,2.555241117
2020/8/24,North,Qiryat Shemona,1,0.428571429,4.471671958,1.916430841
2020/8/25,North,Qiryat Shemona,3,0.857142857,13.41501587,3.832861678
2020/8/26,North,Qiryat Shemona,3,1.285714286,13.41501587,5.749292519
2020/8/27,North,Qiryat Shemona,2,1.571428571,8.943343916,7.026913075
2020/8/28,North,Qiryat Shemona,2,1.857142857,8.943343916,8.304533636
2020/8/29,North,Qiryat Shemona,0,1.857142857,0,8.304533636
2020/8/30,North,Qiryat Shemona,0,1.571428571,0,7.026913075
2020/8/31,North,Qiryat Shemona,0,1.428571429,0,6.388102799
2020/9/1,North,Qiryat Shemona,3,1.428571429,13.41501587,6.388102799
2020/9/2,North,Qiryat Shemona,1,1.142857143,4.471671958,5.110482239
2020/9/3,North,Qiryat Shemona,3,1.285714286,13.41501587,5.749292519
2020/9/4,North,Qiryat Shemona,0,1,0,4.471671958
2020/9/5,North,Qiryat Shemona,2,1.285714286,8.943343916,5.749292519
2020/9/6,North,Qiryat Shemona,1,1.428571429,4.471671958,6.388102799
2020/9/7,North,Qiryat Shemona,2,1.714285714,8.943343916,7.665723356
2020/9/8,North,Qiryat Shemona,3,1.714285714,13.41501587,7.665723356
2020/9/9,North,Qiryat Shemona,2,1.857142857,8.943343916,8.304533636
2020/9/10,North,Qiryat Shemona,8,2.571428571,35.77337567,11.49858503
2020/9/11,North,Qiryat Shemona,7,3.571428571,31.30170371,15.97025699
2020/9/12,North,Qiryat Shemona,7,4.285714286,31.30170371,19.16430839
2020/9/13,North,Qiryat Shemona,2,4.428571429,8.943343916,19.80311867
2020/9/14,North,Qiryat Shemona,14,6.142857143,62.60340741,27.46884203
2020/9/15,North,Qiryat Shemona,28,9.714285714,125.2068148,43.43909902
2020/9/16,North,Qiryat Shemona,16,11.71428571,71.54675133,52.38244292
2020/9/17,North,Qiryat Shemona,19,13.28571429,84.9617672,59.40935603
2020/9/18,North,Qiryat Shemona,24,15.71428571,107.320127,70.26913075
2020/9/19,North,Qiryat Shemona,7,15.71428571,31.30170371,70.26913075
2020/9/20,North,Qiryat Shemona,11,17,49.18839154,76.01842329
2020/9/21,North,Qiryat Shemona,1,15.14285714,4.471671958,67.71388964
2020/9/22,North,Qiryat Shemona,36,16.28571429,160.9801905,72.82437191
2020/9/23,North,Qiryat Shemona,19,16.71428571,84.9617672,74.74080271
2020/9/24,North,Qiryat Shemona,12,15.71428571,53.6600635,70.26913075
2020/9/25,North,Qiryat Shemona,18,14.85714286,80.49009525,66.43626911
2020/9/26,North,Qiryat Shemona,6,14.71428571,26.83003175,65.79745879
2020/9/27,North,Qiryat Shemona,2,13.42857143,8.943343916,60.0481663
2020/9/28,North,Qiryat Shemona,11,14.85714286,49.18839154,66.43626911
2020/9/29,North,Qiryat Shemona,3,10.14285714,13.41501587,45.35552985
2020/9/30,North,Qiryat Shemona,14,9.428571429,62.60340741,42.16147846
2020/10/1,North,Qiryat Shemona,21,10.71428571,93.90511112,47.91077096
2020/10/2,North,Qiryat Shemona,17,10.57142857,76.01842329,47.27196069
2020/10/3,North,Qiryat Shemona,3,10.14285714,13.41501587,45.35552985
2020/10/4,North,Qiryat Shemona,0,9.857142857,0,44.0779093
2020/10/5,North,Qiryat Shemona,7,9.285714286,31.30170371,41.52266818
2020/10/6,North,Qiryat Shemona,4,9.428571429,17.88668783,42.16147846
2020/10/7,North,Qiryat Shemona,0,7.428571429,0,33.21813455
2020/10/8,North,Qiryat Shemona,7,5.428571429,31.30170371,24.27479063
2020/10/9,North,Qiryat Shemona,4,3.571428571,17.88668783,15.97025699
2020/10/10,North,Qiryat Shemona,1,3.285714286,4.471671958,14.69263644
2020/10/11,North,Qiryat Shemona,1,3.428571429,4.471671958,15.33144672
2020/10/12,North,Qiryat Shemona,2,2.714285714,8.943343916,12.13739531
2020/10/13,North,Qiryat Shemona,1,2.285714286,4.471671958,10.22096448
2020/10/14,North,Qiryat Shemona,2,2.571428571,8.943343916,11.49858503
2020/10/15,North,Qiryat Shemona,0,1.571428571,0,7.026913075
2020/10/16,North,Qiryat Shemona,1,1.142857143,4.471671958,5.110482239
2020/10/17,North,Qiryat Shemona,0,1,0,4.471671958
2020/10/18,North,Qiryat Shemona,0,0.857142857,0,3.832861678
2020/10/19,North,Qiryat Shemona,3,1,13.41501587,4.471671958
2020/10/20,North,Qiryat Shemona,2,1.142857143,8.943343916,5.110482239
2020/10/21,North,Qiryat Shemona,1,1,4.471671958,4.471671958
2020/10/22,North,Qiryat Shemona,1,1.142857143,4.471671958,5.110482239
2020/10/23,North,Qiryat Shemona,1,1.142857143,4.471671958,5.110482239
2020/10/24,North,Qiryat Shemona,0,1.142857143,0,5.110482239
2020/10/25,North,Qiryat Shemona,2,1.428571429,8.943343916,6.388102799
2020/10/26,North,Qiryat Shemona,0,1,0,4.471671958
2020/10/27,North,Qiryat Shemona,5,1.428571429,22.35835979,6.388102799
2020/10/28,North,Qiryat Shemona,0,1.285714286,0,5.749292519
2020/10/29,North,Qiryat Shemona,2,1.428571429,8.943343916,6.388102799
2020/10/30,North,Qiryat Shemona,0,1.285714286,0,5.749292519
2020/10/31,North,Qiryat Shemona,0,1.285714286,0,5.749292519
2020/11/1,North,Qiryat Shemona,0,1,0,4.471671958
2020/11/2,North,Qiryat Shemona,0,1,0,4.471671958
2020/11/3,North,Qiryat Shemona,1,0.428571429,4.471671958,1.916430841
2020/11/4,North,Qiryat Shemona,0,0.428571429,0,1.916430841
2020/11/5,North,Qiryat Shemona,0,0.142857143,0,0.63881028
2020/11/6,North,Qiryat Shemona,0,0.142857143,0,0.63881028
2020/11/7,North,Qiryat Shemona,0,0.142857143,0,0.63881028
2020/11/8,North,Qiryat Shemona,0,0.142857143,0,0.63881028
2020/11/9,North,Qiryat Shemona,0,0.142857143,0,0.63881028
2020/11/10,North,Qiryat Shemona,1,0.142857143,4.471671958,0.63881028
2020/11/11,North,Qiryat Shemona,1,0.285714286,4.471671958,1.277620561
2020/11/12,North,Qiryat Shemona,0,0.285714286,0,1.277620561
2020/11/13,North,Qiryat Shemona,1,0.428571429,4.471671958,1.916430841
2020/11/14,North,Qiryat Shemona,0,0.428571429,0,1.916430841
2020/11/15,North,Qiryat Shemona,0,0.428571429,0,1.916430841
2020/11/16,North,Qiryat Shemona,0,0.428571429,0,1.916430841
2020/11/17,North,Qiryat Shemona,0,0.285714286,0,1.277620561
2020/11/18,North,Qiryat Shemona,0,0.142857143,0,0.63881028
2020/11/19,North,Qiryat Shemona,2,0.428571429,8.943343916,1.916430841
2020/11/20,North,Qiryat Shemona,2,0.571428571,8.943343916,2.555241117
2020/11/21,North,Qiryat Shemona,0,0.571428571,0,2.555241117
2020/11/22,North,Qiryat Shemona,0,0.571428571,0,2.555241117
2020/11/23,North,Qiryat Shemona,1,0.714285714,4.471671958,3.194051397
2020/11/24,North,Qiryat Shemona,1,0.857142857,4.471671958,3.832861678
2020/11/25,North,Qiryat Shemona,1,1,4.471671958,4.471671958
2020/11/26,North,Qiryat Shemona,0,0.714285714,0,3.194051397
2020/11/27,North,Qiryat Shemona,0,0.428571429,0,1.916430841
2020/11/28,North,Qiryat Shemona,1,0.571428571,4.471671958,2.555241117
2020/11/29,North,Qiryat Shemona,1,0.714285714,4.471671958,3.194051397
2020/11/30,North,Qiryat Shemona,0,0.571428571,0,2.555241117
2020/12/1,North,Qiryat Shemona,4,1,17.88668783,4.471671958
2020/12/2,North,Qiryat Shemona,0,0.857142857,0,3.832861678
2020/12/3,North,Qiryat Shemona,5,1.571428571,22.35835979,7.026913075
2020/12/4,North,Qiryat Shemona,3,2,13.41501587,8.943343916
2020/12/5,North,Qiryat Shemona,2,2.142857143,8.943343916,9.582154197
2020/12/6,North,Qiryat Shemona,9,3.285714286,40.24504762,14.69263644
2020/12/7,North,Qiryat Shemona,6,4.142857143,26.83003175,18.52549811
2020/12/8,North,Qiryat Shemona,3,4,13.41501587,17.88668783
2020/12/9,North,Qiryat Shemona,6,4.857142857,26.83003175,21.71954951
